Period,Sales,Operating_Profit,OPM_Percent,Other_Income,Interest,Depreciation,Profit_Before_Tax,Net_Profit,EPS
Mar-2023,15215,3572,23,240,29,291,3492,2601,11.07
Jun-2023,15496,3664,24,146,50,286,3474,2556,10.87
Sep-2023,15623,3795,24,178,88,297,3588,2657,11.30
Dec-2023,15567,3665,24,184,91,313,3445,2508,10.68
Mar-2024,15210,3535,23,309,105,320,3419,2561,10.89
Jun-2024,15707,3742,24,209,93,329,3529,2612,11.11
Sep-2024,15926,3787,24,203,110,338,3542,2595,11.03
Dec-2024,15556,3689,24,733,109,318,3995,2989,12.70
Mar-2025,15190,3618,24,149,77,318,3372,2475,10.49
Jun-2025,16514,3717,23,74,127,361,3303,2768,11.73
Sep-2025,15919,3782,24,269,124,322,3605,2694,11.43
Dec-2025,16441,3781,23,4048,88,337,7404,6603,28.12
Mar-2026,16351,3837,23,503,76,348,3916,2994,12.73
FY-Mar-2015,31972,5412,17,1247,18,322,6320,4376,20.17
FY-Mar-2016,32186,5910,18,486,17,353,6026,4151,19.18
FY-Mar-2017,33162,6328,19,606,35,432,6467,4490,20.68
FY-Mar-2018,35545,7499,21,353,26,520,7306,5227,24.09
FY-Mar-2019,39310,8880,23,322,33,565,8604,6060,27.97
FY-Mar-2020,39783,9861,25,424,118,1002,9165,6756,31.17
FY-Mar-2021,47028,11626,25,170,117,1074,10605,7999,34.03
FY-Mar-2022,52446,12857,25,219,106,1091,11879,8892,37.79
FY-Mar-2023,60580,14147,23,448,114,1137,13344,10143,43.07
FY-Mar-2024,61896,14659,24,817,334,1216,13926,10282,43.74
FY-Mar-2025,61328,14698,24,1355,381,1253,14419,10671,45.32
FY-Mar-2026,64468,15039,23,4923,410,1333,18219,15059,64.01
