Period,Sales,Operating_Profit,OPM_Percent,Other_Income,Interest,Depreciation,Profit_Before_Tax,Net_Profit,EPS,Sales_Growth,Net_Profit_Growth,Profit_Trend
Jun-2023,15496,3664,24,146,50,286,3474,2556,10.87,0.018468616496878143,-0.01730103806228378,Profit Declined
Sep-2023,15623,3795,24,178,88,297,3588,2657,11.3,0.008195663397005726,0.03951486697965567,Profit Grew
Dec-2023,15567,3665,24,184,91,313,3445,2508,10.68,-0.0035844588107277753,-0.056078283778697724,Profit Declined
Mar-2024,15210,3535,23,309,105,320,3419,2561,10.89,-0.022933127770283335,0.021132376395534225,Profit Grew
Jun-2024,15707,3742,24,209,93,329,3529,2612,11.11,0.03267587113740955,0.01991409605622807,Profit Grew
Sep-2024,15926,3787,24,203,110,338,3542,2595,11.03,0.013942828038454147,-0.006508422664624813,Profit Declined
Dec-2024,15556,3689,24,733,109,318,3995,2989,12.7,-0.023232450081627554,0.1518304431599229,Profit Grew
Mar-2025,15190,3618,24,149,77,318,3372,2475,10.49,-0.0235278992028799,-0.17196386751421877,Profit Declined
Jun-2025,16514,3717,23,74,127,361,3303,2768,11.73,0.08716260697827516,0.11838383838383848,Profit Grew
Sep-2025,15919,3782,24,269,124,322,3605,2694,11.43,-0.036030035121714876,-0.026734104046242768,Profit Declined
Dec-2025,16441,3781,23,4048,88,337,7404,6603,28.12,0.03279100446007921,1.4510022271714922,Profit Grew
Mar-2026,16351,3837,23,503,76,348,3916,2994,12.73,-0.005474119579101044,-0.546569741026806,Profit Declined
FY-Mar-2015,31972,5412,17,1247,18,322,6320,4376,20.17,0.9553544125741544,0.4615898463593855,Profit Grew
FY-Mar-2016,32186,5910,18,486,17,353,6026,4151,19.18,0.006693356687101248,-0.051416819012797044,Profit Declined
FY-Mar-2017,33162,6328,19,606,35,432,6467,4490,20.68,0.0303237432424035,0.08166706817634295,Profit Grew
FY-Mar-2018,35545,7499,21,353,26,520,7306,5227,24.09,0.07185935709547064,0.16414253897550113,Profit Grew
FY-Mar-2019,39310,8880,23,322,33,565,8604,6060,27.97,0.1059220706147137,0.15936483642624832,Profit Grew
FY-Mar-2020,39783,9861,25,424,118,1002,9165,6756,31.17,0.012032561689137689,0.11485148514851495,Profit Grew
FY-Mar-2021,47028,11626,25,170,117,1074,10605,7999,34.03,0.18211296282331646,0.18398460627590296,Profit Grew
FY-Mar-2022,52446,12857,25,219,106,1091,11879,8892,37.79,0.11520796121459553,0.1116389548693586,Profit Grew
FY-Mar-2023,60580,14147,23,448,114,1137,13344,10143,43.07,0.15509285741524614,0.1406882591093117,Profit Grew
FY-Mar-2024,61896,14659,24,817,334,1216,13926,10282,43.74,0.02172334103664575,0.01370403233757278,Profit Grew
FY-Mar-2025,61328,14698,24,1355,381,1253,14419,10671,45.32,-0.009176683469044877,0.03783310639953319,Profit Grew
FY-Mar-2026,64468,15039,23,4923,410,1333,18219,15059,64.01,0.05120010435690059,0.4112079467716241,Profit Grew
